epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,29623.6,0.46646,0.49942,1.08146,0.91246,0.84291,0.92412,0.88542,0.28481,0.47293,0.927,0.00053225,0.00053225,0.00053225
60,30119,0.46536,0.48912,1.07898,0.85289,0.88185,0.91145,0.87714,0.27545,0.51793,0.91306,0.000519875,0.000519875,0.000519875
61,30616.7,0.4539,0.48329,1.0669,0.90431,0.858,0.91995,0.88289,0.27543,0.49749,0.91173,0.0005075,0.0005075,0.0005075
62,31113.1,0.45503,0.477,1.06234,0.90614,0.85493,0.92461,0.89152,0.26996,0.46218,0.91296,0.000495125,0.000495125,0.000495125
63,31610.1,0.45237,0.47167,1.06794,0.89829,0.86712,0.90679,0.87241,0.27007,0.49322,0.90795,0.00048275,0.00048275,0.00048275
64,32104.2,0.46175,0.4753,1.07655,0.85806,0.86638,0.90777,0.86842,0.28426,0.53902,0.92403,0.000470375,0.000470375,0.000470375
65,32598.1,0.45231,0.47038,1.07051,0.88043,0.87477,0.92707,0.89118,0.26829,0.44341,0.91428,0.000458,0.000458,0.000458
66,33092.4,0.46118,0.47191,1.07704,0.87506,0.86244,0.90472,0.87111,0.27303,0.50409,0.9184,0.000445625,0.000445625,0.000445625
67,33587.1,0.44126,0.44719,1.06365,0.88493,0.85178,0.90615,0.87007,0.2635,0.50743,0.907,0.00043325,0.00043325,0.00043325
68,34082.4,0.44242,0.45455,1.05966,0.87747,0.87403,0.91147,0.87135,0.26882,0.50307,0.90656,0.000420875,0.000420875,0.000420875
69,34577.9,0.43282,0.44571,1.05406,0.88144,0.86648,0.8983,0.86537,0.26467,0.51511,0.90349,0.0004085,0.0004085,0.0004085
70,35074.1,0.44154,0.46009,1.05882,0.88962,0.87432,0.90462,0.8687,0.26437,0.49162,0.91136,0.000396125,0.000396125,0.000396125
71,35568.2,0.43817,0.44964,1.06431,0.86482,0.87636,0.91037,0.87523,0.26237,0.49843,0.90859,0.00038375,0.00038375,0.00038375
72,36064.9,0.43877,0.4363,1.06014,0.89463,0.8607,0.91255,0.88131,0.25704,0.47956,0.90951,0.000371375,0.000371375,0.000371375
73,36560.9,0.42839,0.43293,1.05744,0.9085,0.87191,0.91721,0.88225,0.26019,0.46302,0.91036,0.000359,0.000359,0.000359
74,37057.3,0.42591,0.44857,1.05089,0.90398,0.87257,0.9144,0.88319,0.26246,0.47229,0.91314,0.000346625,0.000346625,0.000346625
75,37551.8,0.43118,0.42864,1.05896,0.88309,0.88072,0.91644,0.88505,0.25728,0.46484,0.90448,0.00033425,0.00033425,0.00033425
76,38069,0.43767,0.42455,1.06023,0.84944,0.9083,0.91309,0.88308,0.25823,0.47058,0.91501,0.000321875,0.000321875,0.000321875
77,38564.7,0.43118,0.42837,1.05357,0.89298,0.85651,0.91464,0.88116,0.25762,0.48772,0.91018,0.0003095,0.0003095,0.0003095
78,39060.3,0.4271,0.41217,1.05301,0.90748,0.87168,0.91651,0.88379,0.25154,0.47137,0.90782,0.000297125,0.000297125,0.000297125
79,39554,0.41489,0.40943,1.0459,0.89264,0.87977,0.91801,0.89077,0.24858,0.48124,0.89952,0.00028475,0.00028475,0.00028475
80,40049.9,0.41685,0.41191,1.04446,0.86692,0.8914,0.91559,0.88178,0.2565,0.49075,0.90667,0.000272375,0.000272375,0.000272375
81,40543.9,0.42296,0.41845,1.05722,0.88378,0.87873,0.91621,0.88437,0.25767,0.4712,0.90693,0.00026,0.00026,0.00026
82,41037,0.42528,0.41706,1.05292,0.90454,0.87018,0.92005,0.88624,0.2567,0.46525,0.90469,0.000247625,0.000247625,0.000247625
83,41531,0.42037,0.40646,1.04398,0.8952,0.88063,0.91716,0.8823,0.25388,0.47607,0.89649,0.00023525,0.00023525,0.00023525
84,42027.3,0.41263,0.40565,1.04219,0.91077,0.87247,0.91906,0.89089,0.24734,0.4518,0.8939,0.000222875,0.000222875,0.000222875
85,42522.1,0.42139,0.40968,1.05337,0.9106,0.87488,0.92177,0.89366,0.24621,0.43758,0.89413,0.0002105,0.0002105,0.0002105
86,43017.4,0.41131,0.39827,1.03861,0.91259,0.86549,0.92106,0.89117,0.24613,0.45354,0.89342,0.000198125,0.000198125,0.000198125
87,43511.9,0.41303,0.38415,1.04197,0.90495,0.88473,0.91941,0.88756,0.24259,0.45892,0.89238,0.00018575,0.00018575,0.00018575
88,44007.1,0.41123,0.39047,1.04284,0.88566,0.88014,0.92148,0.89325,0.24256,0.45509,0.89111,0.000173375,0.000173375,0.000173375
89,44502.3,0.4048,0.38626,1.04352,0.90176,0.85755,0.92335,0.89673,0.24769,0.45669,0.89691,0.000161,0.000161,0.000161
90,44998.2,0.41274,0.38759,1.0469,0.90759,0.8668,0.92572,0.89552,0.24203,0.45299,0.89525,0.000148625,0.000148625,0.000148625
